Município;DIRETOR GERAL DE EMPRESA E ORGANIZACOES (EXCETO DE INTERESSE PUBLICO);DIRETOR DE  PRODUCAO E OPERACOES DE ALIMENTACAO;DIRETOR DE  PRODUCAO E OPERACOES DE HOTEL;DIRETOR DE  PRODUCAO E OPERACOES DE TURISMO;DIRETOR COMERCIAL EM OPERACOES DE INTERMEDIACAO FINANCEIRA;DIRETOR ADMINISTRATIVO;DIRETOR ADMINISTRATIVO E FINANCEIRO;DIRETOR FINANCEIRO;DIRETOR COMERCIAL;DIRETOR DE SUPRIMENTOS;DIRETOR DE SUPRIMENTOS NO SERVICO PUBLICO;DIRETOR DE SERVICOS SOCIAIS;GERENTE DE SERVICOS CULTURAIS;GERENTE DE SERVICOS SOCIAIS;DIRETOR DE SERVICOS DE SAUDE;GERENTE DE SERVICOS DE SAUDE;GERENTE DE INSTITUICAO EDUCACIONAL DA AREA PRIVADA;GERENTE DE SERVICOS EDUCACIONAIS DA AREA PUBLICA;GERENTE DE PRODUCAO E OPERACOES  AQUICOLAS;GERENTE DE PRODUCAO E OPERACOES  FLORESTAIS;GERENTE DE PRODUCAO E OPERACOES AGROPECUARIAS;GERENTE DE PRODUCAO E OPERACOES PESQUEIRAS;GERENTE DE PRODUCAO E OPERACOES;GERENTE DE PRODUCAO E OPERACOES DA CONSTRUCAO CIVIL E OBRAS PUBLICAS;GERENTE DE LOJA E SUPERMERCADO;GERENTE DE OPERACOES DE SERVICOS DE ASSISTENCIA TECNICA;GERENTE DE HOTEL;GERENTE DE RESTAURANTE;GERENTE DE BAR;GERENTE DE PENSAO;GERENTE DE TURISMO;GERENTE DE OPERACOES DE TRANSPORTES;GERENTE DE OPERACOES DE CORREIOS E TELECOMUNICACOES;GERENTE DE LOGISTICA (ARMAZENAGEM E DISTRIBUICAO);GERENTE DE PRODUTOS BANCARIOS;GERENTE DE AGENCIA;GERENTE DE CAMBIO E COMERCIO EXTERIOR;GERENTE DE CREDITO E COBRANCA;GERENTE DE CREDITO IMOBILIARIO;GERENTE DE CREDITO RURAL;GERENTE DE RECUPERACAO DE CREDITO;GERENTE ADMINISTRATIVO;GERENTE DE RISCOS;GERENTE FINANCEIRO;GERENTE DE RECURSOS HUMANOS;GERENTE DE DEPARTAMENTO PESSOAL;GERENTE COMERCIAL;GERENTE DE COMUNICACAO;GERENTE DE MARKETING;GERENTE DE VENDAS;GERENTE DE COMPRAS;GERENTE DE SUPRIMENTOS;GERENTE DE ALMOXARIFADO;GERENTE DE REDE;GERENTE DE DESENVOLVIMENTO DE SISTEMAS;GERENTE DE PRODUCAO DE TECNOLOGIA DA INFORMACAO;GERENTE DE PROJETOS DE TECNOLOGIA DA INFORMACAO;GERENTE DE SEGURANCA DE TECNOLOGIA DA INFORMACAO;GERENTE DE SUPORTE TECNICO DE TECNOLOGIA DA INFORMACAO;GERENTE DE PESQUISA E DESENVOLVIMENTO (P&D);GERENTE DE PROJETOS E SERVICOS DE MANUTENCAO;GERENTE DE CAPTACAO (FUNDOS E INVESTIMENTOS INSTITUCIONAIS);GERENTE DE CLIENTES ESPECIAIS (PRIVATE);GERENTE DE CONTAS - PESSOA FISICA E JURIDICA;GERENTE DE GRANDES CONTAS (CORPORATE);DIRETOR TEATRAL;GERENTE DA ADMINISTRACAO DE AEROPORTOS;GERENTE DE EMPRESA AEREA EM AEROPORTOS;Total
AM-MANAUS;1441969,04000007;27490,3100000052;0;18653,2899999991;121086,559999973;1873557,60999994;937525,74999997;258588,109999998;311758,059999965;54086,5599999968;0;18009,1799999923;186161,920000017;316688,180000043;290860,389999997;300540,249999994;166670,939999972;84868,9999999702;2639,54999999888;71041,5599999949;15420,25;4400;7753985,80000006;681627,859999942;3869699,39000009;652156,959999969;188599,969999991;917397,209999993;79622,7699999958;4124;27504,7100000028;1143465,61000001;123738,479999995;1694779,51999994;119965,370000005;1043180,18000001;158754,950000025;89410,8599999808;20169,429999996;0;11999,6099999994;13371473,52;72552,5900000054;1977520,13999994;2059577,66999997;909158,130000004;5942706,39000013;254379,770000024;671823,040000042;3756132,06000003;1179639,63999997;421556,639999986;433673,479999968;338124,280000025;305438,040000029;349108,790000029;911758,350000013;66699,7400000095;357016,519999964;1334377,99999999;1303469,34999998;15907,6499999985;232228,57999995;1935201,57999997;51671,1900000013;151573,340000006;951207,680000031;13993,9399999976;64450169,2899999
PA-BELEM;313541,57;0;2640,78999999911;35333;0;2057504,32999989;506036,779999966;124344,330000002;319078,320000051;3500;0;93192,7300000191;226246,359999998;136710,550000019;64048,1400000192;161710,390000015;246666,510000017;0;32659,6299999952;74415,6199999899;29046,8300000057;8344;1129252,48000003;378840,340000013;3620182,17999999;322570,529999992;200278,150000006;400855,039999988;174330,140000004;2155,59999999963;2373,5700000003;397775,409999982;97676,7699999958;500660,379999977;185196,620000038;807839,530000018;14329,2399999946;207764,920000007;0;0;6616,39999999851;8091442,59999973;14082,1099999994;995471,009999952;657657,160000045;488181,209999991;2974900,43000001;351664,029999992;427912,25999999;3289094,1700001;658432,989999954;148262,159999998;65469,6999999955;186668,320000032;44233,5300000049;153171,009999983;139876,239999993;37211,5800000019;131048,190000004;207911,979999993;431400,340000027;11016,1000000015;84295,3500000015;1386480,34999996;66665,670000013;30374,4699999988;608106,200000066;19940,7000000039;34584687,0399999
MA-SAO LUIS;439677,63999998;8626,84000000358;0;4994,60000000149;2700;1357444,56999992;237985,540000027;246467,019999993;168790,579999965;1392;0;31782,3899999857;136422,910000008;93690,4100000076;85535,5600000191;546788,750000034;56356,3199999854;0;1740;47888,9199999925;6784,97999999672;0;2885075,13999996;1213714,58999996;2361821,08;248646,699999991;109868,130000014;457993,320000013;68099,3299999945;808,320000000298;2500;295776,069999996;27750,0399999991;491045,579999965;91295,9099999815;501238,259999948;0;63509,2999999952;14247,1300000027;0;7112,24000000209;6272795,79999991;4251,72000000067;747448,839999991;614696,170000012;400510,300000004;3005645,50000004;149141,979999994;474982,029999963;2784164,47000001;261233,22999999;212060,870000018;58110,690000006;69570,5399999972;82095,6300000027;84092,9600000158;15799,7599999942;23361,0700000012;78403,0199999977;225884,810000015;1183015,76000005;4515,84000000358;70093,7600000026;692289,150000034;44184,7300000004;3000;76940,4300000109;16247,0499999933;29970106,2799998
PI-TERESINA;258091,659999991;765;1370;0;10403,4100000001;955666,909999999;204127,52999997;224931,58000001;251105,909999978;6570,67000000179;0;8144;48116,669999999;43890,6000000052;299301,10999999;108469,500000022;18907,6899999958;1792,76999999955;0;1716,66999999993;2050;765;582051,949999983;151609,709999984;1142764,84999999;241735,12999999;24952,4500000011;177497,79999998;34124,0200000005;0;0;99725,1000000052;14137,9499999955;212891,759999996;88454,389999995;204449,839999996;0;146439,020000003;0;0;4979,15000000037;3962277,52999996;10029,7300000004;338839,930000004;219752,650000007;297591,209999992;1355837,17999993;27111,4899999984;443688,259999979;2077854,71;177680,890000015;19402,3000000007;42618,399999998;92346,1400000006;17599,9999999963;49483,5500000101;85474,6400000043;9010;56692,2400000021;75411,1400000043;158832,000000011;0;145616,139999994;409484,890000049;20521,0499999933;820;116641,370000027;13077,1500000022;15795694,3899999
CE-FORTALEZA;1151953,01000002;126137,249999985;28856,6999999844;0;55799,3499999978;2658257,70000015;1133270,81000002;1344818,60000001;1205666,42000004;248936,859999987;4563,69000000134;33600,0500000007;587645,160000011;488252,800000016;243372,680000011;552866,759999958;288806,250000008;3734,25;0;40318,1200000029;4482,91000000015;15654,4100000039;2801466,43999995;1563085,69000001;4745376,64999988;724786,770000055;190635,11999999;1164219,25999997;205094,710000014;2357,15000000037;9343;619968,289999962;293183,760000015;1281270,89000002;422739,269999986;1065191,11000005;42107,2200000063;423185,840000018;27922,0799999982;0;28571,1099999994;13225614,3399999;148421,259999998;2514066,58000002;2109708,71000005;1567807,54;8069763,41000019;477787,269999974;3154051,49000002;9445802,97999994;907516,920000007;465104,880000015;117526,23;396435,510000002;530259,009999994;675894,789999979;713944,410000006;73550,3900000043;664531,520000033;1012413,48000002;1389220,42000007;52325,1999999974;599322,049999982;2686870,62999998;291532,750000007;12084,4299999997;575287,600000039;51381,6599999927;77755723,6000004
RN-NATAL;232079,259999978;0;0;0;12042,3100000024;599490,519999952;321503,729999997;373532,919999996;331639,420000061;31801,6599999964;0;3887;120731,270000024;40405,9300000016;138872,260000002;236455,630000016;20200,3299999945;105383,760000013;2576,56000000052;802,230000000447;5574,83999999985;10700;913445,999999977;263276,480000019;2270835,37999994;181869,330000021;183378,629999988;415122,450000003;71110,870000002;30502,4400000041;14457,3200000003;149806,330000001;49155,9399999976;293894,419999993;130923,04000001;472351,280000025;6457,34999999963;72884,7699999902;12272,6300000027;0;3894,98000000231;5006866,30999982;69596,7500000056;888904,359999998;457061,470000024;360877,090000009;2498002,68;84714,7799999882;549761,120000025;2366726,33000001;270719,979999987;66865,2400000077;73639,4199999981;65191,2499999935;50171,9099999927;126731,17;57863,5300000068;28588,7100000046;105907,949999996;118048,559999997;306159,139999997;38819,4799999911;107928,300000006;1096669,67000002;15985,6199999973;21164,6700000055;1200;0;22957484,7599999
PB-JOAO PESSOA;321939,630000029;2744;0;10016;16998,8599999994;691804,290000006;379122,570000023;321928,360000019;196553,720000003;11295,9900000002;0;7289,58000000007;121221,369999981;43195,1199999973;173223,950000018;198157,649999993;24547,3300000029;0;0;0;18813,3300000001;0;812282,739999996;179006,289999994;1426912,92000006;140007,240000012;136865,119999979;401045,190000005;86525,0000000056;29465,9000000022;16424,6900000013;105915,439999996;22599,3699999936;354374,749999975;119489,180000011;714355,959999977;6627,19999999925;60198,8300000029;2330;0;14061,0900000036;3769992,23;0;474652,7;423019,710000025;323491,480000006;2429798,31000001;185237,080000008;412978,020000017;2223742,29000006;898897,319999985;58265,8199999947;35304,4800000004;39413,4600000028;124991,359999996;92400,2199999988;131850,520000011;11542,3800000027;83170,6300000008;282131,659999989;313500,539999994;11621,0699999928;170887,180000009;1369846,26999995;9002,56999999285;8093,29999999981;0;0;21051169,2600001
PE-RECIFE;2105257,58999996;38770,9899999984;0;0;137868,810000002;2812611,26000001;1393180,03000008;1130039,11000007;1638330,7799999;156908,710000001;0;102210,780000024;445003,900000048;829618,76999998;225833,770000018;584264,770000026;428814,130000004;6190,24000000209;77007,9499999955;39905,3299999908;31430,450000003;9903,48000000045;2523749,33000002;1762832,22000007;5764749,66000001;823413,630000026;424458,560000022;1660422,12000002;325146,160000001;2145,79999999981;32719,2199999969;781651,189999947;233225,959999993;1662661,45000001;477410,090000065;1817172,45000003;46788,0199999977;364241,37999999;12332,4200000055;0;67555,0999999894;17454656,6300004;314889,329999989;3351062,44999998;2232556,44000003;1593339,98999996;10304145,0799999;599285,089999934;1921152,91000002;10150641,4900001;1132507,8;538057,510000041;180710,399999992;423572,250000021;579269,020000024;589665,47000001;1651728,71999999;148387,15000001;635336,529999977;1359021,04000004;2117427,36999996;99699,6199999955;530952,750000009;4211563,59999992;282913,309999984;23929,540000001;910527,390000056;15607,7199999988;94328432,2100006
AL-MACEIO;21219549,0799988;4466;9349;0;1800;424136,920000033;524186,660000082;116411,969999994;213563,189999972;3678;0;40760,1499999873;66802,2900000047;56438,150000006;69596,3900000062;233872,05999998;24999,6999999993;116898,330000013;3276,9299999997;0;81089,2599999923;4140,30000000075;651570,50999996;222830,140000008;1572850,78999997;206281,179999984;197573,439999988;350487,209999979;94515,54;0;24845,3399999999;138641,140000001;48552,9500000197;249694,419999999;140670,559999991;420529,279999987;0;61141,9300000072;6684,26999999955;0;6971,74000000209;4735876,08000009;18825,3099999949;765188,049999997;381604,45000001;291699,35999999;1877390,99999999;83751,4899999984;218667,150000004;1927612,63000001;236442,529999992;148439,200000005;60419,6600000039;33722,7100000037;46270,2299999893;80549,0599999856;68888,9899999984;18166,2600000016;122404,48;138331,870000004;416689,460000019;14153,7800000012;137964,239999991;856603,419999981;24530,4100000001;1600;73086,1300000101;4975,75;40392708,5199988
SE-ARACAJU;371038,689999977;0;0;0;2286,32999999821;351351,959999983;444959,540000025;155526,469999991;207031,769999994;7828,53999999911;20713,3899999987;14966,3199999928;49403,7000000048;28972,5100000054;59635,2600000054;219651,899999995;54459,0000000037;0;16809,8600000013;9898,46000000089;15525,1000000015;0;624267,790000015;307598,500000019;1418954,74;236191,670000011;74776,9300000006;245600,29999999;101225,640000007;12877,7399999984;12923,2899999991;120513,989999998;35497,1400000025;164843,140000002;84337,1800000034;235331,440000005;0;43825,9399999958;6849,12000000104;0;2557;3483885,54000006;0;554287,829999994;308964,779999997;282316,830000009;2036487,37999998;90010,1699999915;242712,919999999;1369845,77999993;139758,319999983;101373,330000013;59930,9299999941;59456,1099999975;245186,759999989;47916,519999994;97637,7600000054;0;69464,5900000017;146566,700000007;377682,339999991;4300;60525,0099999793;470523,929999983;5346,10000000149;10136;109124,700000003;18604;16150274,6799999
